id,surname,birthday,address,phone_number
1,Caryl,27-01-1996,2 Farmco Crossing,595-642-5891
2,Guglielmo,10-06-1996,86943 Chive Way,538-266-7527
3,Aprilette,16-01-1995,697 Sachs Avenue,859-366-3566
4,Dorree,30-12-1998,33 Mayfield Way,883-884-4505
5,Darbee,17-05-1998,969 Loeprich Trail,725-355-0696
6,Hallie,02-07-1998,9 Elgar Road,519-458-3990
7,Harriott,23-01-1995,2563 Porter Road,586-764-1785
8,Hobard,29-05-1997,5 Eastlawn Junction,308-512-3852
9,Aloysius,20-05-1997,32 Moland Street,912-674-3072
10,Albertina,28-01-1995,627 Donald Alley,467-644-1839
11,Joya,19-01-1998,0 Russell Court,799-734-5190
12,Audrey,09-06-1998,18237 Hudson Point,178-497-8490
13,Brit,13-07-1995,0213 Ridgeway Point,209-787-1931
14,Gerianne,14-05-1995,0950 Kingsford Park,654-478-6778
15,Urbain,21-04-1995,2739 Spaight Trail,248-756-0835
16,Adella,21-04-1995,7 Holmberg Plaza,769-720-5106
17,Ave,04-11-1995,2 Pearson Place,728-245-1404
18,Dorothy,23-10-1998,403 Cherokee Trail,880-429-9958
19,Kelvin,06-10-1995,808 Springview Avenue,912-369-0689
20,Cecile,23-10-1997,1 Lighthouse Bay Trail,515-886-0545
21,Dun,08-05-1996,519 Pierstorff Parkway,181-360-8627
22,Pincus,21-08-1996,9668 Gale Way,874-584-3902
23,Tracey,01-10-1997,38542 Prairieview Hill,965-601-2784
24,Natassia,14-01-1997,7 Morrow Pass,531-878-8543
25,Vasily,13-08-1995,32614 Dapin Park,334-250-7082
26,Domenico,22-01-1997,27987 Banding Junction,681-798-7953
27,Yancy,28-10-1995,726 Commercial Road,197-783-8934
28,Winfield,09-05-1997,567 Cordelia Court,900-266-2737
29,Lukas,12-05-1997,584 Redwing Trail,784-701-1884
30,Shel,24-06-1995,569 Kenwood Lane,941-155-3951
31,Garvey,27-10-1995,226 Southridge Way,788-521-8762
32,Dorothea,03-02-1996,15 Lakewood Gardens Way,823-870-5850
33,Sydney,04-04-1995,73712 Arrowood Plaza,606-773-9917
34,Charity,06-11-1995,4404 Little Fleur Court,437-277-1077
35,Fanni,02-12-1995,0043 Lillian Alley,227-279-5094
36,Bealle,06-01-1996,72944 Declaration Plaza,124-116-9112
37,Brigida,15-04-1998,834 Glacier Hill Terrace,461-718-7549
38,Emmott,28-01-1998,2 Tennessee Point,426-461-0392
39,Stanly,12-07-1995,91123 Mallard Terrace,936-115-9665
40,Mendie,29-11-1998,8 Lunder Pass,938-944-0037
41,Conny,11-11-1995,086 Hoffman Lane,452-187-5436
42,Barrett,07-05-1998,38 Sugar Pass,843-625-6394
43,Emily,26-03-1997,14895 Springs Avenue,283-325-6272
44,Britt,28-10-1995,26 Meadow Ridge Trail,262-457-1793
45,Aldridge,23-03-1995,123 5th Place,932-807-9348
46,Arvy,29-06-1996,89318 Upham Trail,865-516-7667
47,Loria,18-02-1995,1403 Daystar Road,265-941-5894
48,Deeann,21-02-1997,5167 Carberry Plaza,583-894-1089
49,Konrad,08-06-1995,6 Morning Plaza,158-441-5096
50,Ysabel,16-08-1998,59343 Scofield Avenue,295-918-4814
51,Nell,23-01-1997,975 Crowley Drive,138-635-3356
52,Adham,21-12-1998,59 Namekagon Avenue,416-861-3238
53,Robin,14-02-1996,70610 Kim Street,791-772-7750
54,Rafael,20-11-1998,07346 Roxbury Trail,943-609-1879
55,Ody,16-03-1995,94220 Messerschmidt Crossing,803-641-4986
56,Ros,01-03-1996,86107 Texas Way,215-601-0272
57,Natale,04-02-1996,69 East Trail,940-743-5490
58,Koenraad,30-08-1997,08 Jenifer Parkway,890-365-8413
59,Bastian,30-09-1996,95 Fordem Parkway,535-480-4566
60,Berenice,13-12-1996,1736 Di Loreto Plaza,809-841-2101
61,Sibella,15-11-1995,2 Laurel Court,303-166-4035
62,Clemmie,18-05-1997,60 Canary Plaza,911-642-0083
63,Carri,27-09-1997,824 3rd Terrace,412-695-0261
64,Truman,14-11-1998,95895 Lotheville Court,544-224-4837
65,Dari,11-04-1995,80190 Steensland Park,187-881-7988
66,Carmon,08-04-1998,7 Mccormick Park,682-816-4399
67,Berny,01-05-1997,12200 Barnett Terrace,733-245-2626
68,Pierson,22-07-1996,5564 East Hill,617-488-1137
69,Hardy,02-01-1999,8712 Annamark Alley,497-659-3713
70,Loreen,02-05-1996,71232 Rusk Alley,710-496-9060
71,Mort,12-01-1997,3635 Bellgrove Center,876-694-9412
72,Ruddie,16-07-1996,4 Oriole Point,884-340-1939
73,Harmonie,12-10-1998,7 Birchwood Parkway,767-566-1962
74,Jess,21-09-1997,03 Reinke Terrace,173-158-1674
75,Margaret,28-10-1997,06 Kennedy Trail,644-845-7733
76,Kathryne,30-04-1997,0 Sundown Alley,707-968-5184
77,Cash,01-04-1997,1340 Mendota Pass,669-341-0879
78,Miran,02-12-1997,77 Havey Alley,798-944-3597
79,Allister,13-04-1997,52 Novick Way,197-193-9258
80,Connor,31-03-1998,59 Lyons Center,825-784-3786
81,Candra,22-01-1996,45 Hollow Ridge Place,184-198-4990
82,Toddy,12-10-1997,0 Alpine Crossing,347-296-3220
83,Arlen,28-12-1997,654 Summer Ridge Pass,372-198-4686
84,Malissia,26-03-1998,1697 Bultman Circle,129-328-5059
85,Stella,11-09-1996,91 Commercial Avenue,326-799-3862
86,Chicky,20-07-1998,6 Del Sol Court,613-530-5218
87,Camille,27-10-1998,6063 New Castle Street,811-117-8946
88,Angel,20-09-1998,140 Moulton Center,902-574-5970
89,Evie,15-05-1995,936 Farwell Crossing,544-696-5516
90,Audrey,17-10-1997,09 Fairview Pass,490-989-8974
91,Thurston,12-03-1996,49 Lerdahl Place,543-976-4672
92,Jamison,24-07-1995,08680 Saint Paul Pass,203-543-9567
93,Putnam,25-02-1995,69781 Waubesa Lane,806-698-6120
94,Jeannette,27-07-1998,02223 Dahle Junction,122-605-5508
95,Jonathon,01-02-1996,7 Butterfield Street,656-589-5623
96,Krystal,03-11-1996,06942 Messerschmidt Court,468-470-4237
97,Dale,07-05-1996,96503 Bartelt Alley,207-766-5118
98,Marcus,02-02-1998,7 Gateway Road,771-466-6384
